cluster	status	loglr	df	p	p.adjust	genes
chr10:clu_1084_+	Not enough valid samples	NA	NA	NA	NA	CACNB2
chr10:clu_1085_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CACNB2
chr10:clu_1086_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CACNB2
chr10:clu_1087_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MLLT10
chr10:clu_1088_+	Success	1.19920388029936	3	0.493931086399725	0.74957396366168	MLLT10
chr10:clu_1089_+	Success	7.83673999004077	2	0.000394954499814634	0.0106901017949827	COMMD3,COMMD3-BMI1
chr10:clu_1090_+	Success	0.585562250436396	2	0.556792716839449	0.797710726580231	COMMD3-BMI1,BMI1
chr10:clu_1091_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KIAA1217
chr10:clu_1092_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KIAA1217
chr10:clu_1093_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KIAA1217
chr10:clu_1094_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-80K21.4,THNSL1
chr10:clu_1095_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MASTL
chr10:clu_1096_+	Success	1.15128558963988	4	0.680300968816226	0.873374732786202	RAB18
chr10:clu_1097_+	Success	0.225512523523776	1	0.501848577421229	0.754963833243972	WAC
chr10:clu_1098_+	Success	0.507111252767118	2	0.602232766694212	0.825428935086781	WAC
chr10:clu_1099_+	Success	1.57160607338756	2	0.207711314705969	0.487837218110047	WAC
chr10:clu_1100_+	Success	0.373274296428463	1	0.387571171557682	0.673219747514627	WAC
chr10:clu_1101_+	Success	0.117494902209842	1	0.627848394914084	0.840317274882944	WAC
chr10:clu_1102_+	Success	0.0116618356145182	1	0.878618383630938	0.972053021600111	SVIL-AS1
chr10:clu_1103_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MAP3K8
chr10:clu_1104_+	Success	7.56386146550858	6	0.0192862435887404	0.127072529287663	ZEB1
chr10:clu_1105_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZEB1
chr10:clu_1106_+	Success	0.00665230536571926	1	0.908171184652711	0.982764176380946	ZEB1
chr10:clu_1107_+	Success	4.45290834174375	6	0.178944571784284	0.4527513262012	CCDC7
chr10:clu_1108_+	Not enough valid samples	NA	NA	NA	NA	CCDC7
chr10:clu_1109_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC7
chr10:clu_1110_+	Success	10.2877711080673	13	0.0817593378033688	0.295849297220746	CCDC7
chr10:clu_1111_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC7
chr10:clu_1112_+	Success	5.95291432811155	10	0.2914084975694	0.582948200636687	CREM
chr10:clu_1113_+	Success	0.866997871500189	1	0.187901407623643	0.465270424143693	CREM
chr10:clu_1114_+	Success	0.831793970865419	2	0.43526772786215	0.708700288207068	CCNY
chr10:clu_1115_+	Success	1.47396936685942	1	0.0859871676389142	0.30374968960946	ZNF33A
chr10:clu_1116_+	Not enough valid samples	NA	NA	NA	NA	ZNF33A
chr10:clu_1117_+	Success	0.871891193954525	3	0.627244234344767	0.840280991456143	ZNF37A,PLD5P1
chr10:clu_1118_+	Not enough valid samples	NA	NA	NA	NA	ZNF37A,PLD5P1
chr10:clu_1119_+	Success	2.48226071610839	1	0.0258724735758785	0.153720355197171	BMS1
chr10:clu_1120_+	Success	7.48962975762879e-05	1	0.990234951790125	1	BMS1
chr10:clu_1121_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZNF487
chr10:clu_1122_+	Not enough valid samples	NA	NA	NA	NA	ZNF487
chr10:clu_1123_+	Success	1.48816305668743	2	0.225787032809125	0.510492960929847	TIMM23
chr10:clu_1124_+	Success	1.12663070508842	1	0.133333127215593	0.387170009129621	AGAP14P
chr10:clu_1125_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PTPN20
chr10:clu_1126_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PTPN20
chr10:clu_1127_+	Success	0.282918065293643	2	0.75358152981164	0.913477610778839	WASHC2C
chr10:clu_1128_+	Success	1.84054830589798	1	0.0550326436813882	0.2338791346962	WASHC2C
chr10:clu_1129_+	Success	0.295942659002321	2	0.743830078756169	0.907982597639822	WASHC2C
chr10:clu_1130_+	Success	2.36146451604736	2	0.094282044471413	0.318633546521035	WASHC2C
chr10:clu_1131_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	BMS1P1
chr10:clu_1132_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	BMS1P7
chr10:clu_1133_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MAPK8
chr10:clu_1134_+	Success	4.39240799265514	1	0.00303748204313345	0.0396108472006053	MAPK8
chr10:clu_1135_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MAPK8
chr10:clu_1136_+	Not enough valid samples	NA	NA	NA	NA	MAPK8
chr10:clu_1137_+	Success	4.11531932701769	3	0.0414779988905581	0.199684595449406	TIMM23B,TIMM23B-AGAP6
chr10:clu_1138_+	Success	1.9576637992736	1	0.0478476890572903	0.215367646976273	WASHC2A
chr10:clu_1139_+	Success	1.13994972110822	2	0.319835102366543	0.611169053471053	WASHC2A
chr10:clu_1140_+	Success	1.18725274646658	2	0.305058186101478	0.596789063076775	WASHC2A
chr10:clu_1141_+	Success	1.05611550852041	2	0.3478042322445	0.63818251713438	WASHC2A
chr10:clu_1142_+	Success	0.0152545041631527	1	0.861340292810886	0.963903414777342	PRKG1
chr10:clu_1143_+	Success	4.43752317529152	5	0.114153139727506	0.353748422953196	PHYHIPL
chr10:clu_1144_+	Success	0.669693095816797	1	0.247142243553885	0.535240491907241	ARID5B
chr10:clu_1145_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ARID5B
chr10:clu_1146_+	Success	3.93422717151498	2	0.0195608106391487	0.127954174857589	ZNF365,RP11-13A2.5
chr10:clu_1147_+	Success	2.98346278418555	1	0.0145766734977514	0.105933104536165	REEP3
chr10:clu_1148_+	Success	5.65095055571783	1	0.000774277696034313	0.0167080261064169	HNRNPH3
chr10:clu_1149_+	Success	1.98481519507277	2	0.137406005077464	0.391944998089815	HNRNPH3
chr10:clu_1150_+	Success	1.46800557471067	1	0.0866244070659699	0.304481396429383	HNRNPH3
chr10:clu_1151_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCAR1
chr10:clu_1152_+	Success	0.542977000233805	2	0.581015990441863	0.813291109476749	CCAR1
chr10:clu_1153_+	Success	2.30707557729147	2	0.0995519582852757	0.328602398892861	CCAR1
chr10:clu_1154_+	Success	0.0940351799556538	1	0.664527516111673	0.86215862230935	STOX1
chr10:clu_1155_+	Success	0.229014105073134	2	0.79531731541708	0.935582533630965	DDX50
chr10:clu_1156_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	STOX1
chr10:clu_1157_+	Success	1.11265102090448	1	0.135766104287259	0.390052996352686	DDX21
chr10:clu_1158_+	Success	0.0110581858518799	1	0.881777939623658	0.973536557706323	KIFBP
chr10:clu_1159_+	Success	4.34184535024883	2	0.0130124934259854	0.0990576062053138	VPS26A
chr10:clu_1160_+	Not enough valid samples	NA	NA	NA	NA	TSPAN15
chr10:clu_1161_+	Success	0.692141351025612	2	0.50050316777525	0.754845045010222	SGPL1
chr10:clu_1162_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ANAPC16
chr10:clu_1163_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FAM149B1
chr10:clu_1164_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FAM149B1
chr10:clu_1165_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FAM149B1
chr10:clu_1166_+	Not enough valid samples	NA	NA	NA	NA	GLUD1P3
chr10:clu_1167_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SEC24C
chr10:clu_1168_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZSWIM8
chr10:clu_1169_+	Not enough valid samples	NA	NA	NA	NA	ZSWIM8
chr10:clu_1170_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	VCL
chr10:clu_1171_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ADK
chr10:clu_1172_+	Success	4.9000025114284	2	0.00744656436938764	0.069389730659038	KAT6B
chr10:clu_1173_+	Not enough valid samples	NA	NA	NA	NA	SAMD8
chr10:clu_1174_+	Success	2.65224597569249	3	0.150811180606574	0.412226252196605	RPS24
chr10:clu_1175_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZMIZ1
chr10:clu_1176_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZMIZ1
chr10:clu_1177_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZMIZ1
chr10:clu_1178_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TMEM254
chr10:clu_1179_+	Success	1.17998720419018	2	0.307282670506587	0.598573437694872	PRXL2A
chr10:clu_1180_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TSPAN14
chr10:clu_1181_+	Not enough valid samples	NA	NA	NA	NA	NRG3
chr10:clu_1182_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NRG3
chr10:clu_1183_+	Success	0.546562423792466	1	0.295779879375847	0.587507979582161	CCSER2
chr10:clu_1184_+	Success	12.7339765494944	4	4.05042461241581e-05	0.00222225999005516	CCSER2
chr10:clu_1185_+	Success	2.80702486498967	2	0.0603843770875626	0.247303871192506	ADIRF
chr10:clu_1186_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SHLD2
chr10:clu_1187_+	Not enough valid samples	NA	NA	NA	NA	FAS
chr10:clu_1188_+	Not enough valid samples	NA	NA	NA	NA	IFIT3
chr10:clu_1189_+	Success	2.81917880619633	1	0.0175716601282387	0.120925593021285	IFIT1
chr10:clu_1190_+	Success	0.134277490912325	1	0.604302753792545	0.826269369240368	PCGF5
chr10:clu_1191_+	Success	0.30219470383372	2	0.739194126946972	0.905590873688807	PCGF5
chr10:clu_1192_+	Success	0.533899835562636	1	0.301442977356032	0.593146278545472	TNKS2
chr10:clu_1193_+	Success	0.00403203278585806	1	0.928446035044851	0.992072978679019	BTAF1
chr10:clu_1194_+	Success	0.780760806176204	1	0.211442565988255	0.49167057154199	BTAF1
chr10:clu_1195_+	Not enough valid samples	NA	NA	NA	NA	BTAF1
chr10:clu_1196_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LGI1
chr10:clu_1197_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLCE1
chr10:clu_1198_+	Not enough valid samples	NA	NA	NA	NA	TBC1D12
chr10:clu_1199_+	Success	0.560293320852452	2	0.571041540889468	0.805737215872608	TBC1D12
chr10:clu_1200_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SORBS1
chr10:clu_1201_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENTPD1
chr10:clu_1202_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LCOR
chr10:clu_1203_+	Success	0.523904889492314	2	0.592203537708152	0.819663532873328	LCOR
chr10:clu_1204_+	Not enough valid samples	NA	NA	NA	NA	LCOR
chr10:clu_1205_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZDHHC16
chr10:clu_1206_+	Success	4.63460504711793	2	0.00970994125041479	0.0822441477260446	ZDHHC16
chr10:clu_1207_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZDHHC16
chr10:clu_1208_+	Success	0.875474750914179	1	0.185757411280277	0.46173985089669	ZFYVE27
chr10:clu_1209_+	Not enough valid samples	NA	NA	NA	NA	ZFYVE27
chr10:clu_1210_+	Success	1.58806787305656	1	0.0747212464329662	0.283620335559525	R3HCC1L
chr10:clu_1211_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CNNM1
chr10:clu_1212_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	OLMALINC
chr10:clu_1213_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	OLMALINC
chr10:clu_1214_+	Success	0.130112697589368	1	0.60996534759275	0.829912637810511	SLF2
chr10:clu_1215_+	Not enough valid samples	NA	NA	NA	NA	SFXN3
chr10:clu_1216_+	Success	1.31829824644137	5	0.755797315146011	0.914888819168994	BTRC
chr10:clu_1217_+	Success	0.0142067368888092	1	0.866140411870957	0.966303260016537	NOLC1
chr10:clu_1218_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NOLC1
chr10:clu_1219_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CNNM2
chr10:clu_1220_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CNNM2
chr10:clu_1221_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PDCD11
chr10:clu_1222_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PDCD11
chr10:clu_1223_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NEURL1
chr10:clu_1224_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SFR1
chr10:clu_1225_+	Success	0.140033343363683	1	0.596657511225519	0.822091457774528	GSTO1
chr10:clu_1226_+	Success	1.06802712899866	2	0.343685896947438	0.634833822386988	GSTO1
chr10:clu_1227_+	Success	6.47066429504775	3	0.00476521901414517	0.0519954612952289	ADD3
chr10:clu_1228_+	Success	0.398657600401975	2	0.671220487636988	0.868068118434754	ADD3
chr10:clu_1229_+	Success	0.40361565794592	2	0.667900774300009	0.86487682659729	ADD3
chr10:clu_1230_+	Success	16.894347169201	2	4.60127562461811e-08	1.86811790359495e-05	ADD3
chr10:clu_1231_+	Success	10.792330753663	6	0.001439565840428	0.0242181104094103	MXI1
chr10:clu_1232_+	Success	2.19345598046402	3	0.222602025046776	0.506572364209036	MXI1
chr10:clu_1233_+	Success	0.472186758231942	2	0.623637032691671	0.838584572552943	PDCD4
chr10:clu_1234_+	Success	2.06068731159041	2	0.127366399401623	0.37726720445325	SHOC2
chr10:clu_1235_+	Success	1.80439780125948	2	0.164573532716522	0.434063583474932	PDCD4
chr10:clu_1236_+	Success	6.65954833336127	2	0.00128172515215741	0.0228237022708732	VTI1A
chr10:clu_1237_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ABLIM1
chr10:clu_1238_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ABLIM1
chr10:clu_1239_+	Success	0.187692961204448	1	0.540083016394452	0.783493465898574	ATRNL1
chr10:clu_1240_+	Success	1.14176982954314	2	0.319253497251693	0.610249151997116	ATRNL1
chr10:clu_1241_+	Success	0.0598148245626362	2	0.941938941391171	0.997289317293504	ATRNL1
chr10:clu_1242_+	Success	0.192422066718109	1	0.535022072144248	0.779867022345254	ATRNL1
chr10:clu_1243_+	Success	1.9425400888158	3	0.274143771004233	0.567114491927975	ATRNL1
chr10:clu_1244_+	Success	3.37929806601915	2	0.0340713621897851	0.177573307690598	ATRNL1
chr10:clu_1245_+	Success	1.62362808995772	1	0.0715431276874344	0.276222761975001	ATRNL1
chr10:clu_1246_+	Success	1.32444739839798	1	0.103621916384037	0.336164013234516	ATRNL1
chr10:clu_1247_+	Success	0.920360988791799	5	0.870715894457883	0.967815257756617	ATRNL1
chr10:clu_1248_+	Not enough valid samples	NA	NA	NA	NA	DENND10
chr10:clu_1249_+	Not enough valid samples	NA	NA	NA	NA	BAG3
chr10:clu_1250_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	INPP5F
chr10:clu_1251_+	Success	1.4567987532248	2	0.232980911602597	0.518397424793501	INPP5F
chr10:clu_1252_+	Success	0.21761267487085	1	0.509436024538481	0.760198078068135	INPP5F
chr10:clu_1253_+	Success	0.311134379911664	1	0.430205448074232	0.704287951282816	INPP5F
chr10:clu_1254_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	WDR11
chr10:clu_1255_+	Success	3.28104638157072	2	0.0375889038853917	0.18961867985891	PLEKHA1
chr10:clu_1256_+	Success	0.41364886453448	2	0.661233092896839	0.859899537847907	PLEKHA1
chr10:clu_1257_+	Success	2.06760157781309	2	0.12648879171126	0.376131221446079	PLEKHA1
chr10:clu_1258_+	Not enough valid samples	NA	NA	NA	NA	DMBT1
chr10:clu_1259_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PSTK
chr10:clu_1260_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PSTK
chr10:clu_1261_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	BUB3
chr10:clu_1262_+	Success	2.4500454401142	1	0.0268552821628913	0.156536872277931	LHPP
chr10:clu_1263_+	Not enough valid samples	NA	NA	NA	NA	RP11-298J20.4
chr10:clu_1264_+	Success	4.32035709632282	1	0.00328732537218513	0.0418824508715636	BCCIP
chr10:clu_1265_+	Not enough valid samples	NA	NA	NA	NA	DOCK1
chr10:clu_1266_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PTPRE
chr10:clu_1267_+	Success	3.33443166723646	4	0.15445674818043	0.41880747836991	PPP2R2D
chr10:clu_1268_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PPP2R2D
chr10:clu_1269_+	Success	3.39083824344289	11	0.816478122320756	0.945314023751598	NA
chr10:clu_1270_+	Success	2.36043972180573	3	0.193414423665156	0.47115753604832	JAKMIP3
chr10:clu_1271_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	JAKMIP3
chr10:clu_1272_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_1273_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr10:clu_1274_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_1275_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	LRRC27
chr10:clu_1276_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-108K14.8,MTG1
chr10:clu_1277_-	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_1278_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr10:clu_1279_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr10:clu_1280_-	Success	0.764957398975639	2	0.465353755098704	0.731733635050634	DIP2C
chr10:clu_1281_-	Success	0.492879532424695	6	0.986146408485316	1	NA
chr10:clu_1282_-	Success	0.408317523615324	5	0.975960195738849	1	NA
chr10:clu_1283_-	Success	1.61320049483152	4	0.520677317409013	0.768674620925972	NA
chr10:clu_1284_-	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_1285_-	Success	0.050580610380166	2	0.950677291125625	1	IDI1
chr10:clu_1286_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ADARB2
chr10:clu_1287_-	Not enough valid samples	NA	NA	NA	NA	ADARB2
chr10:clu_1288_-	Not enough valid samples	NA	NA	NA	NA	PRKCQ
chr10:clu_1289_-	Success	0.424008387153663	1	0.357113988746701	0.645731648297924	UPF2
chr10:clu_1290_-	Success	0.0300208566902711	1	0.806430022965778	0.940837298577402	NUDT5
chr10:clu_1291_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC3
chr10:clu_1292_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SEPHS1
chr10:clu_1293_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FRMD4A
chr10:clu_1294_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FRMD4A
chr10:clu_1295_-	Success	0.192569393087183	1	0.534865795104418	0.779825877947308	FAM107B
chr10:clu_1296_-	Success	3.18309250256334	7	0.497700345372621	0.752415058031646	FAM107B
chr10:clu_1297_-	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_1298_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr10:clu_1299_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DCLRE1C
chr10:clu_1300_-	Success	0.00823029352272897	1	0.89791249941074	0.978452920460168	ACBD7
chr10:clu_1301_-	Success	7.01254473925792	2	0.00090051409661869	0.0185274690824589	NMT2
chr10:clu_1302_-	Success	1.91091143851463	4	0.430656195585428	0.704836396429793	MINDY3
chr10:clu_1303_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NSUN6
chr10:clu_1304_-	Success	0.0982383075411235	2	0.906432868225475	0.98270037454689	NEBL
chr10:clu_1305_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NEBL
chr10:clu_1306_-	Success	0.764256303229843	1	0.216335813311882	0.499084154464443	DNAJC1
chr10:clu_1307_-	Success	0.683709384453323	2	0.50474123627136	0.758037645380022	ARHGAP21
chr10:clu_1308_-	Success	3.24706788147409	2	0.0388880652449757	0.192901688243236	ARHGAP21
chr10:clu_1309_-	Not enough valid samples	NA	NA	NA	NA	ARHGAP21
chr10:clu_1310_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENKUR
chr10:clu_1311_-	Success	14.1446321826279	9	0.000853271859430325	0.0178748022001046	ABI1
chr10:clu_1312_-	Success	2.35408392075362	1	0.0300196287821503	0.165984439056943	ANKRD26
chr10:clu_1313_-	Success	0.327548385909267	2	0.720688419267426	0.895427527177046	YME1L1
chr10:clu_1314_-	Success	2.42735269589002	2	0.0882702016142041	0.307610932922132	ACBD5
chr10:clu_1315_-	Success	1.27144704964508	2	0.280425538362051	0.571932862901839	ACBD5
chr10:clu_1316_-	Success	0.393343172690493	2	0.67479713589834	0.869922641325337	ACBD5
chr10:clu_1317_-	Not enough valid samples	NA	NA	NA	NA	ACBD5
chr10:clu_1318_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SVIL
chr10:clu_1319_-	Not enough valid samples	NA	NA	NA	NA	ARHGAP12
chr10:clu_1320_-	Success	4.39502707364773	2	0.0123385462714533	0.0949958872226938	ARHGAP12
chr10:clu_1321_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NRP1
chr10:clu_1322_-	Not enough valid samples	NA	NA	NA	NA	PARD3
chr10:clu_1323_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PARD3
chr10:clu_1324_-	Success	-0.477921080669603	2	1	1	PARD3
chr10:clu_1325_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CUL2
chr10:clu_1326_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZNF248,RP11-258F22.1
chr10:clu_1327_-	Success	1.13385025058506	2	0.321791888759552	0.61305331840108	ZNF248
chr10:clu_1328_-	Success	5.56332578525053	2	0.00383599745562201	0.045738097748543	ZNF25
chr10:clu_1329_-	Not enough valid samples	NA	NA	NA	NA	ZNF25
chr10:clu_1330_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZNF37BP
chr10:clu_1331_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZNF33B
chr10:clu_1332_-	Success	3.53955014789699	3	0.0694188586870282	0.270024640373615	HNRNPF
chr10:clu_1333_-	Not enough valid samples	NA	NA	NA	NA	ZNF32
chr10:clu_1334_-	Success	1.65259433195558	2	0.191552313148761	0.468811233772924	MARCHF8
chr10:clu_1335_-	Success	1.34613230440152	2	0.26024486455968	0.553666270862537	MARCHF8
chr10:clu_1336_-	Success	0.501099274006265	2	0.605864282657001	0.826919202461034	MARCHF8
chr10:clu_1337_-	Not enough valid samples	NA	NA	NA	NA	ZFAND4
chr10:clu_1338_-	Success	3.25413451066782	1	0.0107373979982608	0.0869055320072843	PARGP1
chr10:clu_1339_-	Success	1.82088428350266	2	0.161882537565265	0.429757913588694	PARGP1
chr10:clu_1340_-	Success	0.862108637227493	2	0.42227072710038	0.697485415796397	PARGP1
chr10:clu_1341_-	Success	0.0283608853331998	1	0.811754419058574	0.941998154833714	PARGP1
chr10:clu_1342_-	Success	-1.89657771834891	3	1	1	NCOA4
chr10:clu_1343_-	Not enough valid samples	NA	NA	NA	NA	RP11-38L15.3
chr10:clu_1344_-	Success	2.14467047834387	1	0.0383520290753889	0.191160316107779	RP11-144G6.12,BMS1P2
chr10:clu_1345_-	Success	0.00726789340598089	1	0.904036027490456	0.981736698897446	RP11-144G6.12
chr10:clu_1346_-	Success	5.01564834772671	2	0.00663332993834836	0.0644150456731512	BMS1P7
chr10:clu_1347_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PTPN20CP
chr10:clu_1348_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ARHGAP22
chr10:clu_1349_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TMEM273
chr10:clu_1350_-	Success	3.58895937118177	2	0.0276270649896385	0.159175804907189	ERCC6
chr10:clu_1351_-	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ERCC6
chr10:clu_1352_-	Success	3.24400871836247	2	0.0390072123319228	0.192993337622496	OGDHL
